Molec_name	Conn_12	Conn_17	Conn_2	Conn_23	Conn_3	Conn_34	Conn_4	Conn_45	Conn_67	Conn_7	Ox_N1	Ox_O2	Ox_O3	Ox_N4	Ox_O5	Ox_O6	Central_bond	LS	Ox_state	DHI/DHICA	G_rel	E_S1	f_S1	E_S2	f_S2	E_S3	f_S3	G_rel_norm	E_S1_norm	E_S2_norm	E_S3_norm	log_f_S1_norm	log_f_S2_norm	log_f_S3_norm
d.lin.t.34.2.111-100	0	0	0	0	1	0	1	0	0	0	1	1	1	1	0	0	1	1	2	1	108.2	1.45	0.1313	2.21	0.2060	2.30	0.2359	0.8850	-0.513	-0.323	-0.476	0.5709	0.6933	0.6576
d.lin.t.37.2.111-100	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	0	1	1	2	1	108.1	1.62	0.1008	2.20	0.3476	2.40	0.1072	0.8846	-0.434	-0.328	-0.417	0.5271	0.7824	0.5278
d.lin.t.37.2.111-001	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	1	1	1	2	1	85.5	1.81	0.1089	2.38	0.0097	2.45	0.0184	0.7902	-0.346	-0.234	-0.387	0.5399	0.1724	0.2376
s.lin.c.33.2.101-101	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	0	2	1	90.7	1.85	0.1041	2.09	0.0315	2.86	0.0049	0.8140	-0.327	-0.385	-0.143	0.5324	0.3731	0.0198
s.lin.c.33.2.101-011	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	2	1	84.4	1.85	0.1023	2.03	0.0396	2.36	0.0000	0.7850	-0.327	-0.417	-0.440	0.5295	0.4122	-1.0000
s.lin.t.34.2.101-101	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	1	1	0	2	1	92.1	1.95	0.0487	2.05	0.0262	2.76	0.0316	0.8201	-0.281	-0.406	-0.202	0.4066	0.3417	0.3267
s.lin.t.34.2.101-011	0	0	0	0	1	0	1	0	0	0	1	0	1	0	1	1	1	0	2	1	84.2	1.72	0.1508	1.96	0.0213	2.41	0.0003	0.7840	-0.387	-0.453	-0.411	0.5938	0.3064	-0.4400
s.lin.t.37.2.101-101	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	1	1	0	2	1	93.1	1.83	0.0386	2.01	0.0804	2.74	0.1062	0.8245	-0.336	-0.427	-0.214	0.3681	0.5329	0.5262
s.lin.t.37.2.101-011	0	0	0	0	1	0	0	0	0	1	1	0	1	0	1	1	1	0	2	1	83.8	1.80	0.1260	1.94	0.0200	2.44	0.0010	0.7821	-0.350	-0.464	-0.393	0.5641	0.2957	-0.2418
s.lin.c.33.2.011-101	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	2	1	84.4	1.85	0.1023	2.03	0.0396	2.36	0.0000	0.7850	-0.327	-0.417	-0.440	0.5295	0.4122	-1.0000
s.lin.c.33.2.011-011	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	2	1	79.0	1.86	0.1167	1.91	0.0077	2.37	0.0000	0.7584	-0.323	-0.479	-0.435	0.5514	0.1330	-1.0000
s.lin.t.34.2.011-101	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	1	1	0	2	1	85.9	1.91	0.0584	2.03	0.0194	2.37	0.0000	0.7921	-0.299	-0.417	-0.435	0.4367	0.2905	-1.0000
s.lin.t.34.2.011-011	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	1	1	0	2	1	77.8	1.79	0.1285	1.92	0.0207	2.36	0.0004	0.7522	-0.355	-0.474	-0.440	0.5673	0.3016	-0.3927
s.lin.t.37.2.011-101	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	1	1	0	2	1	86.6	1.92	0.0524	1.94	0.0321	2.36	0.0000	0.7954	-0.295	-0.464	-0.440	0.4187	0.3764	-1.0000
