Molec_name	Conn_12	Conn_17	Conn_2	Conn_23	Conn_3	Conn_34	Conn_4	Conn_45	Conn_67	Conn_7	Ox_N1	Ox_O2	Ox_O3	Ox_N4	Ox_O5	Ox_O6	Central_bond	LS	Ox_state	DHI/DHICA	G_rel	E_S1	f_S1	E_S2	f_S2	E_S3	f_S3	AIQM_E_rel	G_rel_norm	E_S1_norm	E_S2_norm	E_S3_norm	log_f_S1_norm	log_f_S2_norm	log_f_S3_norm	AIQM_E_rel_norm
s.cyc.12.34.2.x11-011	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	2	0	75.2	1.44	0.1295	1.83	0.0017	2.51	0.0000	63.9	-0.1772	-0.517	-0.521	-0.351	0.5686	-0.1245	-1.0000	-0.1031
s.cyc.23.34.2.101-101	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	1	0	0	2	0	75.2	1.89	0.0211	2.14	0.0704	3.09	0.0114	60.8	-0.1772	-0.309	-0.359	-0.006	0.2680	0.5102	0.1588	-0.1466
s.cyc.17.32.2.x11-110	0	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	0	2	0	75.3	1.63	0.0029	2.35	0.0366	2.65	0.0000	60.3	-0.1761	-0.429	-0.250	-0.268	-0.0607	0.3987	-1.0000	-0.1531
z.cyc.34.67.2.111-01x	0	0	0	0	0	1	0	0	1	0	1	1	1	0	1	0	0	2	2	0	75.7	0.85	0.0052	1.93	0.0195	2.43	0.2791	49.7	-0.1718	-0.791	-0.469	-0.399	0.0360	0.2914	0.6853	-0.3024
d.cyc.34.76.2.111-10x	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	1	1	2	0	76.0	1.56	0.0578	2.16	0.1807	2.29	0.1619	55.4	-0.1685	-0.462	-0.349	-0.482	0.4350	0.6709	0.5957	-0.2226
s.cyc.23.34.2.011-101	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0	1	0	0	2	0	76.2	1.51	0.0306	2.01	0.0218	2.33	0.0404	66.1	-0.1663	-0.485	-0.427	-0.458	0.3296	0.3104	0.3671	-0.0720
d.cyc.23.43.2.100-111	0	0	0	1	0	1	0	0	0	0	1	0	0	1	1	1	1	1	2	0	76.4	1.59	0.0166	2.44	0.0604	2.57	0.0000	69.5	-0.1641	-0.448	-0.203	-0.315	0.2283	0.4841	-1.0000	-0.0243
d.cyc.23.43.2.111-100	0	0	0	1	0	1	0	0	0	0	1	1	1	1	0	0	1	1	2	0	76.5	2.20	0.0806	2.56	0.0000	2.81	0.0019	65.9	-0.1630	-0.165	-0.141	-0.173	0.4900	-1.0000	-0.1362	-0.0744
s.cyc.23.43.2.101-101	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	1	1	0	2	0	76.9	1.82	0.1679	2.09	0.0168	3.17	0.0737	60.8	-0.1586	-0.341	-0.385	0.042	0.6116	0.2660	0.4661	-0.1455
s.cyc.34.76.2.110-11x	0	0	0	0	0	1	0	0	1	0	1	1	0	1	1	0	1	0	2	0	76.9	1.57	0.0468	1.98	0.0079	2.78	0.0605	54.3	-0.1586	-0.457	-0.443	-0.190	0.4000	0.1374	0.4336	-0.2376
s.cyc.34.76.2.101-11x	0	0	0	0	0	1	0	0	1	0	1	0	1	1	1	0	1	0	2	0	77.8	1.59	0.0330	1.97	0.0624	2.99	0.0152	58.1	-0.1488	-0.448	-0.448	-0.065	0.3421	0.4897	0.2062	-0.1838
z.cyc.23.34.2.010-111	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	1	0	2	2	0	77.8	1.18	0.0136	2.23	0.0318	2.41	0.3316	64.5	-0.1488	-0.638	-0.313	-0.411	0.1953	0.3748	0.7137	-0.0934
d.cyc.34.54.2.111-1x0	0	0	0	0	0	1	0	1	0	0	1	1	1	1	0	0	1	1	2	0	78.0	1.55	0.1370	2.11	0.0290	2.58	0.1879	56.2	-0.1466	-0.466	-0.375	-0.310	0.5779	0.3590	0.6202	-0.2111
d.lin.t.33.3.111-111	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	1	3	0	75.6	2.47	0.0000	2.47	0.0000	2.73	0.0741	72.3	-0.1729	-0.039	-0.188	-0.220	-1.0000	-1.0000	0.4670	0.0155
z.cyc.34.54.2.111-0x1	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	1	1	2	2	0	75.5	0.91	0.0080	1.95	0.0400	2.62	0.0007	52.5	-0.1740	-0.763	-0.458	-0.286	0.1074	0.4139	-0.3006	-0.2631
